                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 0.4327,                0.81897,                0.83215,                0.84353,                0.85815,                0.91466,                0.84188,                0.41078,                0.91094,                0.82436,               0.003268,               0.003268,               0.003268
                     70,                0.43405,                0.86509,                0.84079,                0.91108,                0.83516,                0.92918,                0.83865,                 0.4364,                0.84441,                0.82118,               0.003169,               0.003169,               0.003169
                     71,                0.41851,                0.74601,                0.83322,                0.88484,                 0.8877,                0.93597,                0.87041,                0.40868,                0.75711,                 0.8169,                0.00307,                0.00307,                0.00307
                     72,                  0.421,                0.80581,                0.81097,                0.91669,                0.88301,                0.94986,                0.86937,                   0.42,                0.73041,                0.81886,               0.002971,               0.002971,               0.002971
                     73,                0.41364,                0.78833,                0.84581,                0.91654,                0.83653,                0.92937,                 0.8584,                0.41962,                0.75946,                0.81946,               0.002872,               0.002872,               0.002872
                     74,                0.43224,                0.76923,                0.85452,                0.88832,                0.88526,                0.94917,                0.86935,                0.41964,                0.71713,                0.81925,               0.002773,               0.002773,               0.002773
                     75,                0.38538,                0.76411,                0.84591,                0.92359,                  0.875,                 0.9325,                0.86189,                0.40657,                0.71289,                0.81633,               0.002674,               0.002674,               0.002674
                     76,                0.42409,                0.75538,                0.83203,                0.90293,                  0.875,                0.93944,                0.86417,                0.41087,                0.69184,                 0.8188,               0.002575,               0.002575,               0.002575
                     77,                0.40633,                0.78583,                0.81809,                0.88837,                0.86924,                0.93481,                0.86003,                0.41745,                0.73459,                0.81916,               0.002476,               0.002476,               0.002476
                     78,                0.39011,                0.74234,                0.82816,                0.84961,                  0.875,                0.92357,                0.85093,                0.40922,                0.72967,                0.81762,               0.002377,               0.002377,               0.002377
                     79,                0.34746,                0.72459,                0.80183,                 0.8624,                  0.875,                0.93944,                0.87195,                0.40273,                0.69526,                 0.8104,               0.002278,               0.002278,               0.002278
                     80,                0.36421,                0.73067,                0.82929,                0.86176,                  0.875,                0.93528,                0.86197,                0.40121,                0.68496,                0.81575,               0.002179,               0.002179,               0.002179
                     81,                0.36879,                0.68828,                0.83213,                0.87065,                  0.875,                0.93528,                0.86919,                0.40678,                0.67561,                0.81268,                0.00208,                0.00208,                0.00208
                     82,                 0.3339,                0.64152,                0.81223,                0.87994,                0.86622,                0.93528,                 0.8572,                 0.4184,                0.71405,                 0.8195,               0.001981,               0.001981,               0.001981
                     83,                0.37629,                0.70806,                0.83314,                0.90072,                0.85638,                0.92556,                 0.8536,                0.41311,                0.74401,                0.81317,               0.001882,               0.001882,               0.001882
                     84,                0.35626,                0.68782,                0.82032,                0.90604,                0.83406,                0.92833,                0.86073,                0.40568,                 0.7368,                0.81128,               0.001783,               0.001783,               0.001783
                     85,                0.37282,                0.74038,                0.81862,                0.90713,                0.82909,                 0.9325,                0.85811,                0.40866,                0.75742,                0.81218,               0.001684,               0.001684,               0.001684
                     86,                0.36737,                0.73229,                0.82391,                0.89891,                0.85164,                 0.9325,                0.85615,                0.41183,                0.72762,                 0.8145,               0.001585,               0.001585,               0.001585
                     87,                0.35705,                0.68438,                0.80566,                0.90111,                0.84704,                 0.9325,                0.86382,                0.40703,                0.73678,                0.81516,               0.001486,               0.001486,               0.001486
